"编号","是否增加(Y/N)","推荐级别","类别","机器/配方类型","输入","输入数量","输出/流程","输出数量","能耗或机器参数","需新增内容","实现成本","平衡风险","建议理由","注意事项"
"C001","Y","强烈推荐","木材兼容","切割机 ic2:block_cutter","#minecraft:cherry_logs","1","minecraft:cherry_planks","6","hardness=2","无","仅JSON","低","补齐1.20樱花木；与IC2其他原木统一为每原木6木板","一个tag配方即可覆盖原木/木头及去皮变体"
"C002","Y","强烈推荐","木材兼容","切割机 ic2:block_cutter","#minecraft:crimson_stems","1","minecraft:crimson_planks","6","hardness=2","无","仅JSON","低","补齐下界绯红木工业切割","确认运行时物品tag存在；否则在附属模组补tag"
"C003","Y","强烈推荐","木材兼容","切割机 ic2:block_cutter","#minecraft:warped_stems","1","minecraft:warped_planks","6","hardness=2","无","仅JSON","低","补齐下界诡异木工业切割","确认运行时物品tag存在；否则在附属模组补tag"
"C004","Y","强烈推荐","IC2闭环","切割机 ic2:block_cutter","#ic2:rubber_logs","1","ic2:rubber_planks","6","hardness=2","无","仅JSON","低","IC2橡胶木目前只能普通合成4木板；切割机应提供6木板","与现有无序合成并存"
"C005","Y","推荐","木材兼容","切割机 ic2:block_cutter","minecraft:bamboo_block","1","minecraft:bamboo_planks","3","hardness=2","无","仅JSON","低","补齐1.20竹木，较原版2木板提供合理机器收益","不要使用竹子本体，避免与提取机竹子转木棍冲突"
"C006","Y","推荐","石材回收","粉碎机 ic2:macerator","minecraft:tuff","1","minecraft:gravel","1","默认","无","仅JSON","低","凝灰岩缺少工业用途，转砂砾符合粉碎逻辑","不形成增殖循环"
"C007","Y","推荐","陶土回收","粉碎机 ic2:macerator","普通及16色minecraft:*_terracotta","1","ic2:clay_dust","4","默认","无","JSON+自有tag或17条JSON","低","让已烧制陶瓦可回收为黏土粉，覆盖1.12以后建筑库存","不包含带釉陶瓦；建议作为一组勾选"
"C008","Y","推荐","混凝土回收","粉碎机 ic2:macerator","16色minecraft:*_concrete","1","对应颜色minecraft:*_concrete_powder","1","默认","无","16条JSON","低","补齐新版混凝土的可逆工业处理并保留颜色","机器配方不能动态复制颜色，必须分色写16条"
"C009","Y","推荐","材料自动化","粉碎机 ic2:macerator","minecraft:bone_block","1","minecraft:bone_meal","9","默认","无","仅JSON","低","把原版可逆拆分加入机器自动化","与原版合成产率相同"
"C010","Y","推荐","材料回收","提取机 ic2:extractor","minecraft:magma_block","1","minecraft:magma_cream","4","默认","无","仅JSON","中","补充岩浆膏回收路径，符合提取机定位","岩浆块可再生，会使岩浆膏完全自动化"
